# Four-sample capture, stock Android, idle vs playback, 2026-08-31
#
# The stock half of the widened block comparison, and the first capture
# of these windows on a working system. Vendor stack reached via
# 'run switch_vendor' at our U-Boot prompt plus a power cycle.
#
# STATE 1  Android idle. Source 0 already reads 0x03000013 at rest.
# STATE 2  com.softwinner.TvdVideo playing a 1280x720 H.264 clip with a
#          silent AAC track, VISUALLY CONFIRMED on the panel by the
#          operator, decoder logging QueueBufferToShow, and the AFBD
#          buffer ring cycling (0x01500000/0x01B00000/0x00400000/...).
#
# POSITIVE CONTROL PASSED: AFBD Y/C bases classify free-running here
# (cycling ring) and state-driven on the Linux side (installed once), so
# both captures observed their real states.
#
# Read with hidtvreg-read via /dev/hidtvreg, byte-identical format to
# mmio-read, so it diffs line-for-line against
# linux-mips-alive-decd-4sample-2026-08-31.txt.
#
== state1-a
05000a60 0x0E140E14
05000a64 0x00000000
05000a68 0x00000000
05000a6c 0x00000D14
05000a70 0x00000010
05000a74 0x00000000
05000a78 0x00000000
05000a7c 0x00000000
05000a80 0x00000000
05000a84 0x00000010
05000a88 0x00000000
05000a8c 0x00000000
05000a90 0x00000000
05000a94 0x00000000
05000a98 0x00000009
05000a9c 0x00000000
05000aa0 0x00000000
05000aa4 0x02F80000
05000aa8 0x001402D0
05000aac 0x05000012
05000ab0 0x001F0021
05000ab4 0x00000550
05000ab8 0x00100200
05000abc 0x11A65000
05000ac0 0x000E1000
05000ac4 0x000E1000
05000ac8 0x000E1000
05000acc 0x000E1000
05000ad0 0x00070800
05000ad4 0x00038400
05000ad8 0x00070800
05000adc 0x00038400
05000ae0 0x0000000F
05000ae4 0x00000000
05000ae8 0x00000000
05000aec 0x00000000
05000af0 0x00000000
05000af4 0x00000000
05000af8 0x00000000
05000afc 0x00000000
05000b00 0x00000000
05000b04 0x00000000
05000b08 0x00000000
05000b0c 0x00000000
05000b10 0x00000000
05000b14 0x00000000
05000b18 0x00000000
05000b1c 0x00000000
05000b20 0x00000000
05000b24 0x00000000
05000b28 0x00000000
05000b2c 0x00000000
05000b30 0x00000000
05000b34 0x00000000
05000b38 0x00000000
05000b3c 0x00000000
05000b40 0x00000000
05000b44 0x00000000
05000b48 0x00000000
05000b4c 0x00000000
05000b50 0x00000000
05000b54 0x00000000
05000b58 0x00000000
05000b5c 0x00000000
05000b60 0x00000000
05000b64 0x00000000
05000b68 0x00000000
05000b6c 0x00000000
05000b70 0x00000000
05000b74 0x00000000
05000b78 0x00000000
05000b7c 0x00000000
05000b80 0x00000000
05000b84 0x00000000
05000b88 0x00000000
05000b8c 0x00000000
05000b90 0x00000000
05000b94 0x00000000
05000b98 0x00000000
05000b9c 0x00000000
05000ba0 0x00000000
05000ba4 0x00000000
05000ba8 0x00000000
05000bac 0x00000000
05000bb0 0x00000000
05000bb4 0x00000000
05000bb8 0x00000000
05000bbc 0x00000000
05000bc0 0x00000000
05000bc4 0x00000000
05000bc8 0x00000000
05000bcc 0x00000000
05000bd0 0x00000000
05000bd4 0x00000000
05000bd8 0x00000000
05000bdc 0x00000000
05000be0 0x00000000
05000be4 0x00000000
05000be8 0x00000000
05000bec 0x00000000
05000bf0 0x00000000
05000bf4 0x00000000
05000bf8 0x00000000
05000bfc 0x00000000
05000c00 0x00000000
05000c04 0x00000000
05000c08 0x00000000
05000c0c 0x00000000
05000c10 0x00000000
05000c14 0x00000000
05000c18 0x00000000
05000c1c 0x00000000
05000c20 0x00000000
05000c24 0x00000000
05000c28 0x00000000
05000c2c 0x00000000
05000c30 0x00000000
05000c34 0x00000000
05000c38 0x404002F8
05000c3c 0x054C02F7
05000c40 0x0000054C
05000c44 0x00000000
05000c48 0x00000000
05000c4c 0x00000000
05000c50 0x00000000
05000c54 0x00000000
05000c58 0x00000000
05000c5c 0x00000000
05000c60 0x00000000
05000c64 0x00000000
05000c68 0x00000000
05000c6c 0x00000000
05000c70 0x00000000
05000c74 0x00000000
05000c78 0x00000000
05000c7c 0x00000000
05000c80 0x00000000
05000c84 0x00000000
05000c88 0x00000000
05000c8c 0x00000000
05000c90 0x00000000
05000c94 0x00000000
05000c98 0x00000000
05000c9c 0x00000000
05000ca0 0x00000000
05000ca4 0x00000000
05000ca8 0x00000000
05000cac 0x00000000
05000cb0 0x00000000
05000cb4 0x00000000
05000cb8 0x00000000
05000cbc 0x00000000
05000cc0 0x00000000
05000cc4 0x00000000
05000cc8 0x00000000
05000ccc 0x00000000
05000cd0 0x00000000
05000cd4 0x00000000
05000cd8 0x00000000
05000cdc 0x00000000
05000ce0 0x00000000
05000ce4 0x00000000
05000ce8 0x00000000
05000cec 0x00000000
05000cf0 0x00000000
05000cf4 0x00000000
05000cf8 0x00000000
05000cfc 0x00000000
05000d00 0x00000000
05000d04 0x00000000
05000d08 0x00000000
05000d0c 0x00000000
05000d10 0x00000000
05000d14 0x00000000
05000d18 0x00000000
05000d1c 0x00000000
05000d20 0x00000000
05000d24 0x00000000
05000d28 0x00000000
05000d2c 0x00000000
05000d30 0x00000000
05000d34 0x00000000
05000d38 0x00000000
05000d3c 0x00000000
05000d40 0x00000000
05000d44 0x00000000
05000d48 0x00000000
05000d4c 0x00000000
05000d50 0x00000000
05000d54 0x00000000
05000d58 0x00000000
05000d5c 0x00000000
05000d60 0x00000000
05000d64 0x00000000
05000d68 0x00000000
05000d6c 0x00000000
05000d70 0x00000000
05000d74 0x00000000
05000d78 0x00000000
05000d7c 0x00000000
05000d80 0x00000000
05000d84 0x00000000
05000d88 0x00000000
05000d8c 0x00000000
05000d90 0x00000000
05000d94 0x00000000
05000d98 0x00000000
05000d9c 0x00000000
05000da0 0x00000000
05000da4 0x00000000
05000da8 0x00000000
05000dac 0x00000000
05000db0 0x00000000
05000db4 0x00000000
05000db8 0x00000000
05000dbc 0x00000000
05000dc0 0x00000000
05000dc4 0x00000000
05000dc8 0x00000000
05000dcc 0x00000000
05000dd0 0x00000000
05000dd4 0x00000000
05000dd8 0x00000000
05000ddc 0x00000000
05000de0 0x00000000
05000de4 0x00000000
05000de8 0x00000000
05000dec 0x00000000
05000df0 0x00000000
05000df4 0x00000000
05000df8 0x00000000
05000dfc 0x00000000
05000e00 0x00000000
05000e04 0x00000000
05000e08 0x00000000
05000e0c 0x00000000
05000e10 0x00000000
05000e14 0x00000000
05000e18 0x00000000
05000e1c 0x00000000
05000e20 0x00000000
05000e24 0x00000000
05000e28 0x00000000
05000e2c 0x00000000
05000e30 0x00000000
05000e34 0x00000000
05000e38 0x00000000
05000e3c 0x00000000
05000e40 0x00000000
05000e44 0x00000000
05000e48 0x00000000
05000e4c 0x00000000
05000e50 0x00000000
05000e54 0x00000000
05000e58 0x00000000
05000e5c 0x00000000
05000e60 0x00000000
05000e64 0x00000000
05000e68 0x00000000
05000e6c 0x00000000
05000e70 0x00000000
05000e74 0x00000000
05000e78 0x00000000
05000e7c 0x00000000
05000e80 0x00000000
05000e84 0x00000000
05000e88 0x00000000
05000e8c 0x00000000
05000e90 0x00000000
05000e94 0x00000000
05000e98 0x00000000
05000e9c 0x00000000
05000ea0 0x00000000
05000ea4 0x00000000
05000ea8 0x00000000
05000eac 0x00000000
05000eb0 0x00000000
05000eb4 0x00000000
05000eb8 0x00000000
05000ebc 0x00000000
05000ec0 0x00000000
05000ec4 0x00000000
05000ec8 0x00000000
05000ecc 0x00000000
05000ed0 0x00000000
05000ed4 0x00000000
05000ed8 0x00000000
05000edc 0x00000000
05000ee0 0x00000000
05000ee4 0x00000000
05000ee8 0x00000000
05000eec 0x00000000
05000ef0 0x00000000
05000ef4 0x00000000
05000ef8 0x00000000
05000efc 0x00000000
05000f00 0x00000000
05000f04 0x00000000
05000f08 0x00000000
05000f0c 0x00000000
05000f10 0x00000000
05000f14 0x00000000
05000f18 0x00000000
05000f1c 0x00000000
05000f20 0x00000000
05000f24 0x00000000
05000f28 0x00000000
05000f2c 0x00000000
05000f30 0x00000000
05000f34 0x00000000
05000f38 0x00000000
05000f3c 0x00000000
05000f40 0x00000000
05000f44 0x00000000
05000f48 0x00000000
05000f4c 0x00000000
05000f50 0x00000000
05000f54 0x00000000
05000f58 0x00000000
05000f5c 0x00000000
05000f60 0x00000000
05000f64 0x00000000
05000f68 0x00000000
05000f6c 0x00000000
05000f70 0x00000000
05000f74 0x00000000
05000f78 0x00000000
05000f7c 0x00000000
05000f80 0x00000000
05000f84 0x00000000
05000f88 0x00000000
05000f8c 0x00000000
05000f90 0x00000000
05000f94 0x00000000
05000f98 0x00000000
05000f9c 0x00000000
05000fa0 0x00000000
05000fa4 0x00000000
05000fa8 0x00000000
05000fac 0x00000000
05000fb0 0x00000000
05000fb4 0x00000000
05000fb8 0x00000000
05000fbc 0x00000000
05000fc0 0x00000000
05000fc4 0x00000000
05000fc8 0x00000000
05000fcc 0x00000000
05000fd0 0x00000000
05000fd4 0x00000000
05000fd8 0x00000000
05000fdc 0x00000000
05000fe0 0x00000000
05000fe4 0x00000000
05000fe8 0x00000000
05000fec 0x00000000
05000ff0 0x00000000
05000ff4 0x00000000
05000ff8 0x00000000
05000ffc 0x00000000
050c0000 0x70F80029
050c0004 0x00000000
050c0008 0x00000000
